Result,Count
None,3319
Trojan.Pdf.Phishing.ll,221
PDF.Win32.Script.900445,119
Trojan.Pdf.Phishing.la,15
PDF.Win32.Phishing.900374,3
PDF.Win32.Script.900404,3
Trojan.Pdf.Phishing.lk,2
PDF.Win32.Phishing.900375,1
PDF.Win32.Script.900401,1
PDF.Win32.Script.900412,1
PDF.Win32.Script.900421,1
PDF.Win32.Script.900423,1
PDF.Win32.Script.900425,1
PDF.Win32.Script.900441,1
Pdf.Trojan-PSW.Phish.Gjgl,1
Pdf.Trojan-PSW.Phish.Ztjl,1
Pdf.Trojan-psw.Phish.Dkv,1
Pdf.Trojan-psw.Phish.Dxmx,1
Pdf.Trojan-psw.Phish.Dyqw,1
Pdf.Trojan-psw.Phish.Ecbc,1
Pdf.Trojan-psw.Phish.Edex,1
Pdf.Trojan-psw.Phish.Fhx,1
Pdf.Trojan-psw.Phish.Frw,1
Pdf.Trojan-psw.Phish.Gca,1
Pdf.Trojan-psw.Phish.Jcx,1
Pdf.Trojan.Alien.Dav,1
Pdf.Trojan.Alien.Ducg,1
Pdf.Trojan.Alien.Dygq,1
Pdf.Trojan.Alien.Dygw,1
Pdf.Trojan.Alien.Dyha,1
Pdf.Trojan.Alien.Eadw,1
Pdf.Trojan.Alien.Ebre,1
Pdf.Trojan.Alien.Ebrj,1
Pdf.Trojan.Alien.Ecay,1
Pdf.Trojan.Alien.Eyo,1
Pdf.Trojan.Alien.Gvp,1
Pdf.Trojan.Alien.Hfj,1
Pdf.Trojan.Malicious.Cujl,1
Pdf.Trojan.Malicious.Fplw,1
Pdf.Trojan.Malicious.Lflw,1
Pdf.Trojan.Malicious.Nsmw,1
Pdf.Trojan.Malicious.Unkl,1
Pdf.Trojan.Spam.Dyqp,1
Pdf.Trojan.Spam.Ecbn,1
Pdf.Trojan.Spam.Eoh,1
Pdf.Trojan.Spam.Hzj,1
Trojan.Pdf.Phishing.lf,1
Trojan.Pdf.Phishing.lj,1
Win32.Trojan.Generic.Chh,1
Win32.Trojan.Generic.Ebrj,1
